language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
doee1238,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,b,-,-,-,-,e,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
kwer1261,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,b,-,-,-,-,e,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
kami1256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,e,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
zara1247,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,b,-,-,-,-,e,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
kutu1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,e,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
sham1280,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,p,-,-,-,h,e,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
bond1247,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
zigu1244,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
ngul1246,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
gogo1263,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,b,-,-,-,e,e,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
