language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
mbos1242,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,-,o,-,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
koyo1242,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
koyo1242,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
mbok1243,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
akwa1248,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
bong1284,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,-,o,-,-,-,-,-,-,-
maba1270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,k,-,o,o,m,b,o,o,-,-,-,-,-,-,-
mong1338,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,a,-,-,-,-,-,-,-
mong1338,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
zamb1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,k,-,o,o,m,b,o,o,-,-,-,-,-,-,-
mpam1239,-,-,-,-,-,-,-,d,-,-,-,-,i,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
bang1354,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dibo1245,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dibo1245,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
bomi1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,k,-,-,o,m,b,-,o,-,-,-,-,-,-,-
yaka1272,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,a,-,-,-,-,-,-,-
ngom1268,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,-,e,-,-,-,-,-,-,-
bamw1238,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
bamw1238,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
bamw1238,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
ndol1238,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
bolo1263,-,-,-,-,e,e,n,k,-,-,-,-,o,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
budz1238,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
bwel1238,-,-,-,-,i,i,-,k,-,-,-,-,o,-,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,o,o,-,-,-,-,-,-,-
sode1235,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
sode1235,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kele1255,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
mbol1247,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
lomb1260,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
bata1285,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
beng1282,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
yasa1242,-,-,-,-,-,-,-,d,-,-,-,-,i,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,a,-,-,-,-,-,-,-
dual1243,-,-,-,-,-,-,-,d,-,-,-,-,i,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
mali1280,-,-,-,-,-,-,-,d,-,-,-,-,i,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,a,-,-,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,d,-,-,-,-,i,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,a,-,-,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,d,-,i,-,i,i,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,a,-,-,-,-,-,-,-
mokp1239,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,a,-,-,-,-,-,-,-
ndas1238,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,u,-,-,-,-,-,m,-,-,-,-,-,-,-,-,v,-,u,-,-,-,-,-,-,-
wumb1242,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,-,-,-,-,f,-,u,-,-,-,-,-,-,-
sigh1238,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,u,-,-,-,-,-,m,-,-,-,-,-,-,-,-,b,u,u,-,-,-,-,-,-,-
osam1235,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
