language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55
doee1238,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,u,-,-,-,v,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
kwer1261,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,o,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
kami1256,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,o,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
zara1247,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,o,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
kutu1263,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,o,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
sham1280,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
bond1247,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
zigu1244,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
ngul1246,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
gogo1263,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,w,a,a,-,a,-,-,-,g,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
kagu1239,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,o,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
lugu1238,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,o,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
lang1320,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
tait1250,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,d,-,-,-,e,-,-,-,-,-,-,-
saga1256,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
tave1240,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,k,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,w,-,-,-,i,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,k,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
