language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
doee1238,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
kwer1261,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
kami1256,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,h,-,i,-,-,-,-,-,-,-,-,-,-,-,-
zara1247,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,z,-,h,-,i,-,-,-,-,-,-,-,-,-,-,-,-
kutu1263,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,z,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
sham1280,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
bond1247,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
zigu1244,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
ngul1246,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
gogo1263,-,-,-,-,-,-,m,-,-,-,-,a,l,e,e,-,-,e,-,-,-,N,-,-,-,-,-,g,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-
