language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47
doee1238,-,-,-,m,-,-,-,-,-,a,t,-,-,o,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
kwer1261,-,-,-,m,-,-,-,-,-,a,t,-,-,o,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
kami1256,-,-,-,m,-,-,-,-,-,a,t,-,-,o,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
zara1247,-,-,-,m,-,-,-,-,-,a,t,-,-,o,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
kutu1263,-,-,-,m,-,-,-,-,-,a,t,-,-,o,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
sham1280,-,-,-,m,-,-,-,-,-,a,t,-,-,o,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
bond1247,-,-,-,m,-,-,-,-,-,a,t,-,-,o,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
zigu1244,-,-,-,m,-,-,-,-,-,a,t,-,-,o,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
ngul1246,-,-,-,m,-,-,-,-,-,a,t,-,-,o,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
gogo1263,-,-,-,-,-,-,-,-,-,i,t,o,o,o,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
kagu1239,-,-,-,-,-,-,-,-,-,i,t,-,-,o,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
lugu1238,-,-,-,-,-,-,-,-,-,-,t,-,-,o,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
lang1320,-,-,-,m,-,-,-,-,-,a,t,-,-,o,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
tait1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,o,-,-,-,d,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
saga1256,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,b,-,-,-,-,-,-,-,e,-,-,e,-,-,-,l,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
tave1240,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,e,-,e,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
giry1241,-,-,-,h,-,-,-,-,-,o,-,-,-,-,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
digo1243,-,-,-,5,-,-,-,-,-,a,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
poko1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,e,-,e,-,l,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
chim1312,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,e,-,e,-,l,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
swah1253,-,-,-,z,-,-,-,-,-,i,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
swah1253,-,-,-,z,-,-,-,-,-,i,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
