language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60
doee1238,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,v,-,-,-,-,i,m,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
kwer1261,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
kami1256,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
zara1247,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
kutu1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
sham1280,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,e,-,-,i,y,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
bond1247,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
zigu1244,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
ngul1246,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
gogo1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
kagu1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
lugu1238,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
lang1320,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-
tait1250,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
saga1256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
