language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
doee1238,-,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
kwer1261,-,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
kami1256,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
zara1247,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
kutu1263,-,-,-,-,-,-,k,-,-,-,o,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
sham1280,-,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
bond1247,-,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
zigu1244,-,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
ngul1246,-,-,-,-,-,-,k,-,-,-,u,-,-,s,-,-,-,-,i,-,-,-,-,-,5,-,-,-,-,-,-,-,a,-,-,-,-,-
gogo1263,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
kagu1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
lugu1238,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
lang1320,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
tait1250,-,-,-,-,-,-,k,-,-,-,u,-,-,w,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
saga1256,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
tave1240,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
asut1235,-,-,-,-,-,-,y,-,-,-,o,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,a,-
asut1235,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
asut1235,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
giry1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
digo1243,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
poko1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
chim1312,-,-,-,-,-,-,w,-,-,-,o,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
swah1253,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
mwan1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
ilwa1237,-,-,-,-,-,-,-,-,-,-,o,-,-,o,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
nden1248,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
nden1248,-,-,-,-,-,-,k,-,-,-,u,-,-,b,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
matu1259,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
ngin1244,-,-,-,-,-,-,k,-,-,-,u,-,-,b,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
mate1258,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
mpot1240,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
mand1423,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
tanz1241,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
yaoo1241,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
mwer1248,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
mako1251,-,-,-,-,-,-,k,-,-,-,u,-,-,t,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
mako1251,-,-,-,-,-,-,k,-,-,-,u,-,m,w,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
ndam1239,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
mbun1248,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
pogo1243,-,-,-,-,-,-,k,-,-,-,u,-,-,w,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
pang1287,-,-,-,-,-,-,k,h,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
nucl1379,-,-,-,-,u,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
hehe1240,-,-,-,-,u,-,k,-,-,-,u,-,-,w,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
bena1262,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
sang1330,-,-,-,-,-,-,k,-,-,-,i,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
vwan1235,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
fipa1238,-,-,-,-,u,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
mamb1296,-,-,-,-,u,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
mamb1296,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
wand1264,-,-,-,-,u,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
nyam1275,-,-,-,-,u,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
pimb1238,-,-,-,-,u,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
rung1255,-,-,-,-,u,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
bung1265,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
bend1258,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
nyih1240,-,-,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-
mali1279,-,-,-,-,-,-,k,-,-,-,w,-,-,-,-,-,-,-,e,-,-,-,-,-,5,-,-,-,-,-,-,-,a,-,-,-,-,-
lamb1272,-,-,-,-,u,-,k,-,-,-,w,-,-,-,-,-,-,-,e,-,-,-,-,-,5,-,-,-,-,-,-,-,a,-,-,-,-,-
safw1238,-,-,-,-,a,-,h,-,-,-,w,-,-,-,-,-,-,-,e,-,-,-,-,-,5,-,-,-,-,-,-,-,e,-,-,-,-,-
ndal1241,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
nyak1260,-,-,-,-,u,-,k,-,-,-,u,-,-,k,-,-,-,-,e,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-
suku1261,-,-,-,-,-,-,k,-,-,-,u,-,-,b,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
suku1261,-,-,-,-,-,-,k,-,-,-,u,-,-,b,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
nyam1276,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
sumb1240,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
nyat1246,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
nyat1246,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
