language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
mbos1242,-,-,-,-,-,-,-,-,i,-,-,y,-,-,-,i,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,i,-,-,y,-,i,-,i,-,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,i,-,-,y,-,i,-,i,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,i,-,-,y,-,i,-,i,-,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,o,-,-,y,-,u,-,u,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
koyo1242,-,-,-,-,-,-,-,-,i,-,-,y,-,i,-,i,-,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-
koyo1242,-,-,-,-,-,-,-,-,i,i,-,y,-,i,-,i,-,-,b,-,-,-,a,-,-,-,a,-,-,-,-,-
mbok1243,-,-,-,-,-,-,-,-,i,-,-,y,-,i,-,i,-,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-
akwa1248,-,-,-,-,-,-,-,-,e,-,-,y,-,i,-,i,-,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-
maba1270,-,-,-,-,-,-,-,-,-,-,-,b,o,i,-,i,-,-,b,-,-,-,-,-,-,-,i,-,-,-,-,-
mong1338,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,i,-,m,b,-,-,-,o,-,l,-,a,-,-,-,-,-
bang1354,-,-,-,-,-,-,-,-,-,-,-,y,-,i,-,i,-,-,b,-,-,-,a,-,-,-,a,-,-,-,-,-
dibo1245,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
dibo1245,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
bomi1238,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,i,-,-,b,-,-,-,-,-,-,-,i,-,-,-,-,-
