language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
doee1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
kwer1261,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
kami1256,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
zara1247,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
kutu1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
sham1280,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
bond1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
zigu1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
ngul1246,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
gogo1263,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,b,-,a,z,a,l,a,-,-,-,-,-
kagu1239,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
lugu1238,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-
lang1320,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
tait1250,-,-,-,-,-,-,-,l,-,-,-,-,-,w,-,-,-,-,a,-,k,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,l,-,-,-,-,-,e,-,-,-,-,-
saga1256,-,-,-,-,-,-,-,l,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,a,-,-,-,-,-
tave1240,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,o,-,-,-,o,-,m,-,-,-,b,-,-,-,e,-,e,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
giry1241,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
digo1243,-,-,-,-,-,-,-,r,-,-,-,-,-,u,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,o,m,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
poko1261,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,a,-,-,-,-,l,-,-,-,-,-,a,-,-,-,-,-
chim1312,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,a,a,-,-,-,-,l,-,-,-,-,-,a,-,-,-,-,-
swah1253,-,-,-,u,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
mwan1247,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,m,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
ilwa1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,a,-,-,-,-,-
nden1248,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-
nden1248,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-
matu1259,-,-,-,-,-,k,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-
ngin1244,-,-,-,-,-,h,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-
mate1258,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-
