language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
doee1238,-,-,-,-,k,-,-,w,-,-,-,-,-,-,-,i,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kwer1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
kami1256,-,-,-,-,k,-,-,w,-,-,-,-,-,-,-,i,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,a,-,-,-,-
zara1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
kutu1263,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
sham1280,-,-,-,-,k,-,-,u,-,-,-,-,-,-,-,i,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
bond1247,-,-,-,-,k,-,-,w,-,-,-,-,-,-,-,e,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
zigu1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
ngul1246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
gogo1263,-,-,-,-,k,u,-,u,-,-,-,-,-,-,-,u,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kagu1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
lugu1238,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
lang1320,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
tait1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,S,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,o,-,-,-,-
saga1256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
tave1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,a,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
giry1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
digo1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,d,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
poko1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
chim1312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mwan1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
ilwa1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
nden1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
nden1248,-,-,-,-,k,-,-,w,-,-,-,-,-,-,-,i,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
matu1259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
ngin1244,-,-,-,-,k,u,-,h,-,-,-,-,-,-,-,i,-,-,t,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mate1258,-,-,-,-,k,u,-,h,-,-,-,-,-,-,-,i,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mpot1240,-,-,-,-,k,u,-,h,-,-,-,-,-,-,-,i,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mand1423,-,-,-,-,k,u,-,h,-,-,-,-,-,-,-,i,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
tanz1241,-,-,-,-,k,u,b,w,-,-,-,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
yaoo1241,-,-,-,-,k,-,-,w,-,-,-,-,-,-,-,i,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mwer1248,-,-,-,-,k,-,-,u,-,-,-,-,-,-,-,i,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mako1251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mako1251,-,-,-,-,k,-,-,w,-,-,-,-,-,-,-,i,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
ndam1239,-,-,-,-,k,-,-,w,-,-,-,-,-,-,-,i,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mbun1248,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,i,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
