language,x1,x2,x3,x4,x5
egab1234,-,-,p,-,a
nuji1238,7,a,p,w,a
nuji1238,-,-,p,-,a
enqi1234,-,-,p,-,E
tuol1234,-,-,p,-,a
eryu1239,-,a,p,-,E
yunl1238,-,a,p,-,E
qili1234,-,a,p,-,E
heqi1238,-,a,p,-,E
jian1239,-,a,p,-,E
xian1250,-,a,p,-,E
lanp1241,-,a,p,-,E
zhou1234,-,-,p,-,3
