language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
high1277,t,-,s,o,h,-,k,o,o,p,-,-,o
cent2131,t,-,s,o,-,-,k,o,o,b,a,r,a
sout3136,t,-,s,o,-,-,k,-,-,-,-,-,o
lowl1264,t,-,s,o,p,o,k,o,-,-,-,r,i
tuba1279,r,o,-,o,-,-,t,u,-,-,-,l,a
tuba1279,m,o,s,o,-,-,k,o,-,-,-,-,o
