language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
eude1234,-,h,-,u,u,-,-,h,u,b,a,-
eude1234,-,h,-,u,u,-,-,h,-,-,a,-
opat1246,-,h,-,-,u,-,-,p,-,-,-,-
opat1246,u,h,-,-,-,-,-,p,-,-,-,-
yaqu1251,-,h,u,u,u,-,-,b,-,-,a,-
yaqu1251,-,h,-,u,u,h,h,h,-,-,a,-
mayo1264,-,h,u,u,u,-,-,b,-,-,a,-
mayo1264,-,h,u,u,u,-,-,h,-,-,a,-
high1277,-,-,-,-,u,-,-,p,-,-,a,-
high1277,-,-,-,-,u,-,-,h,i,-,i,-
high1277,-,-,-,-,u,-,-,h,a,-,a,-
cent2131,-,h,-,-,u,-,-,b,a,-,a,-
cent2131,-,-,-,-,u,-,-,h,-,-,i,-
cent2131,-,-,-,-,u,-,-,h,a,-,a,-
sout3136,-,h,-,-,u,-,-,p,-,-,a,-
sout3136,-,h,-,-,u,-,-,h,-,-,i,-
sout3136,-,h,-,-,u,-,-,h,-,-,a,-
tepi1240,-,7,u,u,u,-,-,v,-,-,a,i
sono1245,-,h,-,-,u,-,-,w,-,-,a,-
sono1245,-,-,-,-,u,-,-,h,-,-,a,-
