language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
opat1246,t,-,e,-,-,m,-,-,-,u
yaqu1251,t,e,e,-,-,m,-,-,-,u
mayo1264,t,e,e,m,m,m,-,-,-,u
cent2131,r,-,i,-,-,m,i,s,o,o
sout3136,t,-,3,-,-,m,-,-,-,u
tuba1279,t,-,e,-,-,m,e,-,-,e
