language,x1,x2,x3,x4,x5,x6,x7,x8,x9
pahn1237,-,-,-,t,S,h,-,3,-
pahn1237,-,-,-,t,-,S,-,u,-
wuna1248,-,-,-,-,-,k,-,u,N
east2371,-,-,-,-,-,g,-,u,-
youn1235,-,-,-,-,-,h,-,a,N
youn1235,-,-,-,-,-,h,-,a,N
pana1310,-,-,-,-,-,p,-,o,-
nort3244,-,-,-,-,-,s,-,a,N
hmon1264,-,-,-,-,-,p,-,u,-
hmon1333,-,-,-,-,-,p,-,u,-
larg1235,s,a,u,t,-,h,a,o,-
