language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
pahn1237,-,a,-,t,S,-,-,o,-,-,-,-,-,-,-,-,-,-,-
pahn1237,-,a,-,t,S,-,-,a,-,-,N,-,-,-,-,-,-,-,-
wuna1248,n,a,N,t,S,-,-,u,-,-,N,-,-,-,-,-,-,-,-
east2371,-,-,-,-,S,-,-,u,-,-,N,p,h,-,-,u,-,-,-
youn1235,-,-,-,-,f,o,s,3,-,-,n,-,l,-,-,a,-,-,u
youn1235,-,-,-,-,f,o,s,3,-,-,n,-,l,-,-,a,-,-,u
pana1310,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,a,i,b,o
jion1236,-,-,-,-,-,-,-,-,-,-,m,p,l,-,-,E,-,-,-
jion1236,-,-,-,-,-,-,-,-,-,-,m,p,l,-,-,a,-,-,y
shee1238,-,-,-,-,h,-,y,u,-,-,N,p,i,u,k,o,-,-,-
shee1238,-,-,-,-,h,-,y,u,-,-,N,p,h,u,k,o,-,-,-
nort3244,-,-,-,-,h,3,-,u,-,-,n,t,-,-,-,a,-,-,o
hmon1264,-,-,-,-,h,a,-,u,-,-,-,S,-,-,-,a,-,-,-
hmon1333,-,-,-,-,h,o,-,w,-,-,-,S,y,-,-,a,-,-,-
larg1235,-,-,-,-,f,a,-,o,h,i,n,t,-,-,-,o,-,-,-
buna1273,-,-,-,-,p,e,-,y,-,-,n,t,L,-,-,o,-,-,-
buna1273,-,-,-,-,f,a,-,-,-,-,m,p,y,-,a,u,-,-,-
