language,x1,x2,x3,x4,x5,x6,x7,x8
jion1236,-,-,-,n,-,-,a,n
jion1236,-,-,-,n,-,-,e,n
shee1238,-,-,-,t,o,-,o,n
shee1238,-,-,-,t,o,-,o,n
youn1235,-,-,-,n,-,-,i,-
youn1235,k,a,u,n,-,-,i,-
east2369,-,-,-,n,-,-,a,N
pana1310,-,-,-,l,a,g,a,N
nort2748,t,a,-,n,-,-,e,n
east2371,-,-,-,n,-,-,E,-
pahn1237,N,-,-,n,-,-,e,-
pahn1237,-,-,-,n,-,-,e,N
wuna1248,n,-,-,n,-,-,u,N
nort3244,-,-,-,n,-,-,a,N
hmon1264,-,-,-,n,-,-,a,N
hmon1333,-,-,-,n,-,-,a,-
larg1235,p,-,i,n,-,-,a,u
buna1273,-,-,-,n,-,-,o,-
buna1273,-,-,-,n,-,-,3,N
numa1251,-,-,-,n,-,-,o,n
