language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
pahn1237,N,-,n,-,-,o,-,-,-,-
pahn1237,-,-,n,-,-,a,-,-,N,-
wuna1248,n,-,t,-,-,a,-,-,N,-
east2371,-,-,t,-,-,e,-,-,-,-
youn1235,m,a,t,-,-,o,-,-,u,-
youn1235,m,a,t,-,-,u,-,-,N,-
pana1310,-,-,t,-,-,o,-,-,-,-
jion1236,-,-,t,-,-,a,-,-,-,-
jion1236,-,-,t,-,-,a,-,-,N,-
shee1238,-,-,t,-,-,a,-,-,N,-
shee1238,-,-,t,-,-,a,-,-,N,-
nort3244,-,-,t,-,-,-,-,-,o,-
hmon1264,5,-,t,S,h,a,-,-,u,-
hmon1264,5,-,-,-,-,a,-,-,u,-
hmon1333,n,-,t,S,h,o,-,-,w,-
larg1235,n,-,t,S,h,a,-,-,o,-
buna1273,-,-,t,S,-,e,y,t,o,-
buna1273,-,-,k,-,-,a,-,t,u,N
