language,x1,x2,x3,x4,x5,x6,x7
pahn1237,m,-,p,-,y,-,o
pahn1237,n,-,-,-,y,-,o
wuna1248,m,-,p,-,y,-,o
east2371,-,-,-,-,L,-,o
youn1235,-,-,l,-,y,-,u
youn1235,-,-,l,-,y,-,e
pana1310,-,-,l,-,y,-,o
jion1236,-,-,w,o,h,-,u
jion1236,m,-,p,-,h,-,o
shee1238,k,a,p,-,h,-,u
shee1238,k,a,p,-,h,-,o
nort3244,n,-,t,-,S,u,a
hmon1264,5,-,d,-,Z,w,a
hmon1333,n,-,d,-,Z,w,3
larg1235,n,-,t,-,s,-,a
buna1273,m,-,p,t,s,a,u
buna1273,m,-,p,-,y,-,u
