language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
jion1236,k,a,n,-,-,-,t,-,-,a,N,-
jion1236,k,a,n,-,-,-,t,-,-,a,N,-
shee1238,-,-,n,-,e,-,t,-,-,a,N,-
shee1238,-,-,n,-,e,-,t,-,-,a,N,-
youn1235,l,i,n,-,-,-,t,-,-,a,y,-
youn1235,l,i,n,-,-,-,t,-,-,a,y,-
east2369,-,-,-,-,-,-,t,-,-,E,q,E
nort2748,-,-,t,-,e,-,q,e,l,a,-,-
east2371,-,-,-,-,-,-,q,e,-,i,-,-
pahn1237,-,-,-,-,a,-,q,-,-,o,-,-
pahn1237,-,-,-,-,a,-,q,-,-,a,N,-
wuna1248,-,-,n,-,a,N,q,-,-,a,N,-
nort3244,-,-,n,-,o,-,q,-,-,o,-,-
hmon1264,-,-,n,-,u,-,q,-,-,u,-,-
hmon1333,-,-,n,-,u,-,q,-,-,u,-,-
larg1235,-,-,n,-,u,-,q,-,-,u,-,-
buna1273,-,-,t,-,o,-,k,-,-,o,-,-
buna1273,-,-,t,S,e,-,k,-,-,u,N,-
numa1251,-,-,-,-,-,-,k,-,-,u,N,-
