language,x1,x2,x3
jion1236,p,a,-
jion1236,p,a,N
shee1238,p,a,N
shee1238,p,a,N
youn1235,p,o,u
youn1235,p,u,N
east2369,p,E,-
pana1310,p,o,n
nort2748,p,e,-
east2371,p,e,-
pahn1237,p,o,-
pahn1237,p,a,N
wuna1248,p,a,N
nort3244,p,o,-
hmon1264,p,u,-
hmon1333,p,u,-
larg1235,p,u,-
buna1273,l,a,y
buna1273,p,u,N
numa1251,p,u,N
